DESCRIPTION,WORDNUMBER,VALENCEAVERAGE,AROUSALAVERAGE,DOMINANCEAVERAGE,WORDFREQUENCY
abduction,621,2.76,5.53,3.49,1
abortion,622,3.5,5.39,4.59,6
absurd,623,4.26,4.36,4.73,17
abundance,624,6.59,5.51,5.8,13
abuse,1,1.8,6.83,3.69,18
acceptance,625,7.98,5.4,6.64,49
accident,2,2.05,6.26,3.76,33
ace,626,6.88,5.5,6.39,15
ache,627,2.46,5,3.54,4
achievement,3,7.89,5.53,6.56,65
activate,4,5.46,4.86,5.43,2
addict,581,2.48,5.66,3.72,1
addicted,628,2.51,4.81,3.46,3
admired,5,7.74,6.11,7.53,17
adorable,6,7.81,5.12,5.74,3
adult,546,6.49,4.76,5.75,25
advantage,629,6.95,4.76,6.36,73
adventure,630,7.6,6.98,6.46,14
affection,7,8.39,6.21,6.08,18
afraid,8,2,6.67,3.98,57
aggressive,9,5.1,5.83,5.59,17
agility,22,6.46,4.85,5.87,3
agony,10,2.43,6.06,4.02,9
agreement,631,7.08,5.02,6.22,106
air,632,6.34,4.12,5.1,257
alcoholic,582,2.84,5.69,4.45,3
alert,11,6.2,6.85,5.96,33
alien,633,5.6,5.45,4.64,16
alimony,634,3.95,4.3,4.63,2
alive,635,7.25,5.5,6.39,57
allergy,636,3.07,4.64,3.21,1
alley,637,4.48,4.91,4,8
alone,12,2.41,4.83,3.7,195
aloof,13,4.9,4.28,4.69,5
ambition,14,7.04,5.61,6.93,19
ambulance,15,2.47,7.33,3.22,6
angel,16,7.53,4.83,4.97,18
anger,17,2.34,7.63,5.5,48
angry,18,2.85,7.17,5.55,45
anguished,19,2.12,5.33,3.45,2
ankle,638,5.27,4.16,4.77,8
annoy,20,2.74,6.49,5.09,2
answer,639,6.63,5.41,5.85,152
anxious,21,4.81,6.92,5.33,29
applause,640,7.5,5.8,6.48,14
appliance,641,5.1,4.05,5.05,5
arm,642,5.34,3.59,5.07,94
army,23,4.72,5.03,5.03,132
aroused,24,7.97,6.63,6.14,20
arrogant,25,3.69,5.65,5.14,2
art,643,6.68,4.86,5.3,208
assassin,26,3.09,6.28,4.33,6
assault,27,2.03,7.51,3.94,15
astonished,28,6.56,6.58,5.16,6
astronaut,501,6.66,5.28,5.2,2
athletics,644,6.61,6.1,6.12,9
autumn,29,6.3,4.51,5.15,22
avalanche,645,3.29,5.54,3.61,1
avenue,646,5.5,4.12,5.4,46
awed,30,6.7,5.74,5.3,5
baby,31,8.22,5.53,5,62
bake,647,6.17,5.1,5.49,12
bandage,648,4.54,3.9,4.52,4
bankrupt,32,2,6.21,3.27,5
banner,649,5.4,3.83,4.8,8
bar,650,6.42,5,5.47,82
barrel,651,5.05,3.36,4.89,24
basket,547,5.45,3.63,5.76,17
bastard,33,3.36,6.07,4.17,12
bath,502,7.33,4.16,6.41,26
bathroom,548,5.55,3.88,5.65,18
bathtub,652,6.69,4.36,5.76,4
beach,34,8.03,5.53,5.44,61
beast,653,4.23,5.57,4.89,7
beautiful,654,7.6,6.17,6.29,127
beauty,35,7.82,4.95,5.53,71
bed,549,7.51,3.61,6.88,127
bees,583,3.2,6.51,4.16,15
beggar,36,3.22,4.91,4.09,2
bench,655,4.61,3.59,4.68,35
bereavement,656,4.57,4.2,4.33,4
betray,37,1.68,7.24,4.92,4
beverage,657,6.83,5.21,5.63,5
bird,38,7.27,3.17,4.42,31
birthday,39,7.84,6.68,5.89,18
black,543,5.39,4.61,5.14,203
blackmail,40,2.95,6.03,3.54,2
bland,658,4.1,3.29,4.88,3
blase,41,4.89,3.94,4.57,7
blasphemy,659,3.75,4.93,4.75,4
bless,42,7.19,4.05,5.52,9
blind,43,3.05,4.39,3.28,47
bliss,660,6.95,4.41,6.12,4
blister,661,2.88,4.1,3.98,3
blond,662,6.43,5.07,5.74,11
bloody,584,2.9,6.41,3.96,8
blossom,44,7.26,5.03,5.53,7
blubber,663,3.52,4.57,3.86,1
blue,544,6.76,4.31,5.63,143
board,664,4.82,3.36,4.98,239
body,665,5.55,5.52,5.34,276
bold,45,6.8,5.6,6.67,21
bomb,46,2.1,7.15,4.54,36
book,47,5.72,4.17,5.3,193
bored,48,2.95,2.83,4.11,14
bottle,666,6.15,4.79,4.78,76
bouquet,667,7.02,5.46,6.15,4
bowl,49,5.33,3.47,4.69,23
boxer,585,5.51,5.12,5.1,1
boy,50,6.32,4.58,5.34,242
brave,668,7.15,6.15,7.22,24
breast,51,6.5,5.37,5.39,11
breeze,669,6.85,4.37,5.54,14
bride,670,7.34,5.55,5.74,33
bright,671,7.5,5.4,6.34,87
broken,672,3.05,5.43,4.14,63
brother,52,7.11,4.71,5.12,73
brutal,53,2.8,6.6,4.59,7
building,550,5.29,3.92,5.25,160
bullet,673,3.29,5.33,3.9,28
bunny,54,7.24,4.06,4.97,1
burdened,55,2.5,5.63,5.03,4
burial,56,2.05,5.08,3.55,11
burn,586,2.73,6.22,4.22,15
bus,541,4.51,3.55,4.84,34
busybody,674,5.17,4.84,5.45,.
butter,57,5.33,3.17,4.67,27
butterfly,58,7.17,3.47,4.65,2
cabinet,675,5.05,3.43,4.73,17
cake,59,7.26,5,5.16,9
cancer,60,1.5,6.42,3.42,25
candy,61,6.54,4.58,5.33,16
cane,677,4,4.2,4.27,12
cannon,678,4.9,4.71,5.17,7
capable,62,7.16,5.08,6.47,66
car,551,7.73,6.24,6.98,274
carcass,679,3.34,4.83,4.9,7
carefree,63,7.54,4.17,5.78,9
caress,64,7.84,5.14,5.83,1
cash,503,8.37,7.37,6.96,36
casino,680,6.81,6.51,5.12,2
cat,504,5.72,4.38,6.16,.
cell,587,3.82,4.08,4.12,65
cellar,681,4.32,4.39,4.66,26
cemetery,65,2.63,4.82,4.27,15
chair,66,5.08,3.15,4.56,66
champ,682,7.18,6,6.77,1
champion,67,8.44,5.85,6.5,23
chance,683,6.02,5.38,4.64,131
chaos,684,4.17,6.67,3.86,17
charm,68,6.77,5.16,5.57,26
